type,id,title,thumbnails,videoCount,descriptionSnippet,subscribers,link
channel,UC-1mI_FzEAME6PAJGNTk4Tw,Rugged Cams,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnjKoOxQt5YLo3Uni36PiWj2UE7n2BM-DyJKbRXe=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnjKoOxQt5YLo3Uni36PiWj2UE7n2BM-DyJKbRXe=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",137,"[{'text': 'RUGGED CAMS - '}, {'text': 'Security Cameras', 'bold': True}, {'text': ' built to last Our 24th Year Building The Best Business '}, {'text': 'Security Cameras', 'bold': True}, {'text': ' on the Planet.'}]",1550,https://www.youtube.com/channel/UC-1mI_FzEAME6PAJGNTk4Tw
channel,UCcmzGOHCOKcIxlzfGpzb_Hg,ALIBI Security,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhWINaMBYfbq6GUV2o82Qdozlw92X_sid_S1utIsQ=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhWINaMBYfbq6GUV2o82Qdozlw92X_sid_S1utIsQ=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",232,,1440,https://www.youtube.com/channel/UCcmzGOHCOKcIxlzfGpzb_Hg
channel,UCWTKvUnNqQz5LXAGEP1tprg,Discount Security Cameras,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnjG4a1XmPftOzOMwS0dIGIP7N43qJqOtdTGggNEDA=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnjG4a1XmPftOzOMwS0dIGIP7N43qJqOtdTGggNEDA=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",40,,1380,https://www.youtube.com/channel/UCWTKvUnNqQz5LXAGEP1tprg
channel,UCouGljy8UI2eSql-FK5t7Jw,LA Security Cameras,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnjrha1K32SVQjpZWcSSx9BweBvKoxe8OxUsV4ZFI6k=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnjrha1K32SVQjpZWcSSx9BweBvKoxe8OxUsV4ZFI6k=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",83,[{'text': 'Salsa Lessons.'}],1250,https://www.youtube.com/channel/UCouGljy8UI2eSql-FK5t7Jw
channel,UCSeMkpNPR7UGFOlBfZ0bRNg,Digital Vision Security - Video Camera Surveillance Systems & Solutions,"[{'url': '//yt3.ggpht.com/ytc/AAUvwniCfVBJzMbPAjBqxdQLyq4_x53xWx0lfn9bNXVV=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwniCfVBJzMbPAjBqxdQLyq4_x53xWx0lfn9bNXVV=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",946,"[{'text': 'Digital Vision '}, {'text': 'Security', 'bold': True}, {'text': ' is a leading provider of advanced Video '}, {'text': 'Surveillance', 'bold': True}, {'text': '. For over ten years our goal at Digital Vision '}, {'text': 'Security', 'bold': True}, {'text': '\xa0...'}]",1230,https://www.youtube.com/channel/UCSeMkpNPR7UGFOlBfZ0bRNg
channel,UC3NyYsiK3EfqGvONl8Pu-nQ,Anran Tech,"[{'url': '//yt3.ggpht.com/ytc/AAUvwniJDJ-wV4SzvtuUbd0n1rB0vM76HO-YfJ8mtotFWA=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwniJDJ-wV4SzvtuUbd0n1rB0vM76HO-YfJ8mtotFWA=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",61,"[{'text': 'ANRAN is committed to the innovation of video surveillance technology. We provide products such as '}, {'text': 'security cameras', 'bold': True}, {'text': ', DVR and\xa0...'}]",1210,https://www.youtube.com/channel/UC3NyYsiK3EfqGvONl8Pu-nQ
channel,UCPMpmUdmzLesKtRnRRN_eLQ,Supercircuits,"[{'url': '//yt3.ggpht.com/ytc/AAUvwngjP28Z4SXS8T0q_2OxZb2auPjaSxNLUb4maRaV7w=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwngjP28Z4SXS8T0q_2OxZb2auPjaSxNLUb4maRaV7w=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",208,"[{'text': 'For the past 20 years, Supercircuits has provided businesses and consumers with custom audio and video '}, {'text': 'surveillance', 'bold': True}, {'text': ' solutions\xa0...'}]",1170,https://www.youtube.com/channel/UCPMpmUdmzLesKtRnRRN_eLQ
channel,UCF4s5ufhScaZpqAzalPwVfw,ENS Security,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhtsxsTpw09-gQKYVDoErpkOGLMI4NmZHv4Ceuw=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhtsxsTpw09-gQKYVDoErpkOGLMI4NmZHv4Ceuw=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",158,"[{'text': 'Our complete line of products includes '}, {'text': 'security cameras', 'bold': True}, {'text': ', digital and network recorders, and related accessories. • We understand\xa0...'}]",1120,https://www.youtube.com/channel/UCF4s5ufhScaZpqAzalPwVfw
channel,UCG88IWZnwe5cjsw2RH7fQOA,365 Security Solution,"[{'url': '//yt3.ggpht.com/ytc/AAUvwnhJSGG11ongSmbeMrrrltcD0g_b2gYlxxNwarSmJw=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwnhJSGG11ongSmbeMrrrltcD0g_b2gYlxxNwarSmJw=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",62,"[{'text': 'New York CCTV Installation Services-Surveillance System & '}, {'text': 'Security Camera', 'bold': True}, {'text': ' Installation Queens NY serving Queens . NYC.'}]",1040,https://www.youtube.com/channel/UCG88IWZnwe5cjsw2RH7fQOA
channel,UC72yPVUumfy5aoMSP96WsTA,Web Camera Cloud,"[{'url': '//yt3.ggpht.com/ytc/AAUvwngZejd8q4u0uSlnVLpzOleKtX2R5i51wcyH0C8cTg=s88-c-k-c0x00ffffff-no-rj-mo', 'width': 88, 'height': 88}, {'url': '//yt3.ggpht.com/ytc/AAUvwngZejd8q4u0uSlnVLpzOleKtX2R5i51wcyH0C8cTg=s176-c-k-c0x00ffffff-no-rj-mo', 'width': 176, 'height': 176}]",58,"[{'text': 'Safety is not a luxury, it is Web '}, {'text': 'Camera', 'bold': True}, {'text': ' Pro Free video '}, {'text': 'surveillance', 'bold': True}, {'text': ' software based on deep neural networks, trained on large\xa0...'}]",,https://www.youtube.com/channel/UC72yPVUumfy5aoMSP96WsTA
